[09:28:45] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=29
[09:28:57] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=29
[09:29:05] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[09:29:06] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetList
[09:29:11] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=30
[09:29:15] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=30
[09:29:30] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Delete?id=30
[09:29:30] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetList
[09:29:32] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=29
[09:29:34] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[09:29:34] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetList
[09:29:35] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=29
[09:29:39] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[09:29:39] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetList
[09:29:41] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=29
[09:29:44] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=29
[09:29:54] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=29
[09:30:05] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[09:30:05] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetList
[09:30:06] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=29
[09:30:13] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=29
[09:30:36] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=29
[09:30:39] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=29
[09:30:41] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=29
[09:31:22] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=29
[09:31:26] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=29
[09:31:28] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=29
[09:31:36] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=29
[09:31:42] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=29
[09:31:45] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=29
[09:31:49] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
